date,open,high,low,close,volume
2014-01-02,118.34,118.5,117.36,117.5,3087000
2014-01-03,117.5,118.0,117.38,117.57,2694500
2014-01-06,118.2,118.2,116.26,116.28,3426000
2014-01-07,116.61,116.95,115.96,116.19,4062000
2014-01-08,116.0,116.37,115.25,115.34,3822700
2014-01-09,115.77,115.93,115.03,115.32,3339600
2014-01-10,116.02,116.02,114.43,114.97,3344400
2014-01-13,115.08,115.28,113.76,114.01,4742300
2014-01-14,114.15,114.96,113.6,114.96,3766400
2014-01-15,115.23,115.85,114.7,115.85,4513300
2014-01-16,115.94,116.07,114.91,115.24,2702100
2014-01-17,115.47,115.58,114.75,115.07,4173000
2014-01-21,115.32,115.49,114.26,115.15,4248600
2014-01-22,115.42,115.91,115.06,115.26,2823300
2014-01-23,114.82,114.87,113.33,113.5,5138000
2014-01-24,113.06,113.2,111.76,111.81,7193300
2014-01-27,111.92,112.28,111.13,111.5,5172800
2014-01-28,111.95,112.69,111.85,112.01,4174900
2014-01-29,111.41,112.04,111.12,111.28,3914000
2014-01-30,111.85,113.33,111.38,113.0,3787600
2014-01-31,111.81,112.37,110.85,111.6,5865700
2014-02-03,112.11,112.11,108.84,108.99,7071000
2014-02-04,109.42,109.59,108.6,109.13,5589200
2014-02-05,108.94,109.31,108.12,108.78,4205900
2014-02-06,109.43,110.28,108.94,110.16,3909100
2014-02-07,110.61,112.7,110.61,112.61,5607600
2014-02-10,112.62,113.0,111.73,112.61,3118000
2014-02-11,112.83,113.79,112.14,113.61,4188400
2014-02-12,113.68,114.16,113.13,113.3,2907100
2014-02-13,112.86,114.77,112.58,114.7,3597000
2014-02-14,114.5,115.04,114.22,114.95,3072400
2014-02-18,115.16,115.22,114.36,114.73,2574800
2014-02-19,114.72,114.85,113.26,113.36,3683600
2014-02-20,113.33,113.49,112.3,113.1,4108200
2014-02-21,113.44,113.99,112.97,113.18,3350900
2014-02-24,113.25,114.0,113.12,113.2,3530100
2014-02-25,113.14,114.16,112.57,113.94,3255200
2014-02-26,113.86,114.18,113.2,113.7,3104000
2014-02-27,113.25,114.58,113.08,114.58,3207100
2014-02-28,114.8,116.0,114.21,115.78,4607400
2014-03-03,116.15,116.75,114.88,116.06,4556900
2014-03-04,117.13,118.59,117.0,118.57,4830400
2014-03-05,118.38,119.08,118.14,118.98,3458000
2014-03-06,119.17,121.44,119.11,121.2,5337700
2014-03-07,121.84,122.92,121.4,122.67,4384600
2014-03-10,122.58,124.32,122.35,124.1,4304500
2014-03-11,124.44,125.0,123.89,124.69,5479100
2014-03-12,123.92,125.21,123.89,125.17,3911500
2014-03-13,125.61,125.91,123.45,123.61,4714500
2014-03-14,123.74,124.28,122.24,122.51,4684300
2014-03-17,123.44,123.95,122.88,123.36,3363200
2014-03-18,123.4,123.56,122.52,123.28,3940000
2014-03-19,123.48,123.69,121.84,122.62,3210600
2014-03-20,122.56,124.53,122.38,124.44,3818900
2014-03-21,125.05,125.89,124.42,125.2,8904100
2014-03-24,125.51,125.89,123.98,124.32,3961100
2014-03-25,125.06,125.09,123.85,124.47,2938500
2014-03-26,125.0,125.05,123.01,123.01,3148300
2014-03-27,123.29,123.85,122.63,123.47,3983300
2014-03-28,123.83,124.37,123.03,123.53,3430300
2014-03-31,124.25,124.97,124.02,124.97,3711500
2014-04-01,125.07,125.34,124.36,124.88,2967100
2014-04-02,124.82,124.93,124.18,124.47,3299900
2014-04-03,124.49,124.71,123.89,124.31,2272200
2014-04-04,124.61,125.36,123.86,123.9,3264700
2014-04-07,123.99,124.16,123.06,123.12,4182500
2014-04-08,123.17,123.74,122.52,123.13,4413600
2014-04-09,123.27,124.12,123.17,124.01,4077200
2014-04-10,123.67,124.69,122.26,122.27,4102800
2014-04-11,122.61,122.61,121.45,121.7,3801200
2014-04-14,122.3,122.8,121.09,122.29,3396100
2014-04-15,122.75,123.96,122.1,123.77,4214500
2014-04-16,124.39,126.02,124.25,126.0,4110000
2014-04-17,125.97,127.7,125.55,127.18,4412000
2014-04-21,127.67,127.73,126.25,126.5,2636400
2014-04-22,126.42,127.43,125.06,127.15,4382300
2014-04-23,127.49,127.96,126.61,127.2,2568900
2014-04-24,127.8,127.9,126.61,126.95,2848400
2014-04-25,126.76,127.57,126.57,127.26,2765700
2014-04-28,128.01,128.31,126.16,127.7,3529900
2014-04-29,127.87,128.74,127.81,128.49,3053100
2014-04-30,128.63,129.2,128.31,128.85,4075700
2014-05-01,128.81,129.25,128.15,129.06,2655500
2014-05-02,129.45,129.73,127.82,128.09,4276700
2014-05-05,127.19,127.19,126.08,126.61,3486100
2014-05-06,126.13,126.29,124.06,124.67,5381100
2014-05-07,125.4,127.53,125.32,127.45,3301400
2014-05-08,127.23,127.49,126.33,126.67,2773300
2014-05-09,126.25,127.37,125.85,127.34,2935600
2014-05-12,127.87,128.24,126.89,127.29,3406900
2014-05-13,127.69,127.92,127.06,127.89,2127500
2014-05-14,127.8,128.0,127.51,127.53,2685300
2014-05-15,127.3,127.44,126.0,126.36,3206100
2014-05-16,126.41,126.92,125.66,126.86,2897800
2014-05-19,126.77,127.21,126.11,127.13,2242400
2014-05-20,126.92,126.94,125.7,126.06,2292300
2014-05-21,126.5,126.94,126.22,126.66,1917000
2014-05-22,126.95,127.15,126.53,126.98,1546600
2014-05-23,127.22,127.32,126.31,126.8,1807700
2014-05-27,127.41,127.75,127.25,127.52,2251600
2014-05-28,127.43,127.94,127.26,127.46,2211300
2014-05-29,127.42,128.2,127.1,128.11,2028900
2014-05-30,127.67,128.5,127.62,128.34,2916700
2014-06-02,128.28,128.75,127.37,127.88,2007200
2014-06-03,127.29,127.68,126.61,126.93,2445000
2014-06-04,127.0,127.61,126.79,127.23,1760000
2014-06-05,127.56,128.22,127.11,128.2,2165000
2014-06-06,128.2,128.65,128.08,128.65,2241500
2014-06-09,128.33,128.62,127.57,127.99,2385200
2014-06-10,127.6,128.3,127.58,128.25,2174200
2014-06-11,127.86,128.48,127.86,128.22,2422300
2014-06-12,128.46,128.59,126.93,127.28,2408700
2014-06-13,127.27,127.51,125.5,126.54,3397900
2014-06-16,125.95,126.34,125.71,126.15,2545800
2014-06-17,126.05,126.35,125.6,126.03,2583600
2014-06-18,125.94,127.35,125.44,127.17,2925400
2014-06-19,127.56,127.57,126.56,127.25,2954200
2014-06-20,127.43,128.1,126.5,126.74,6161300
2014-06-23,126.8,126.98,126.3,126.67,2768500
2014-06-24,126.35,127.37,126.35,126.78,2862500
2014-06-25,126.88,127.35,126.49,127.13,2531600
2014-06-26,127.2,127.28,126.06,127.1,2148300
2014-06-27,126.83,127.49,126.63,127.32,3125300
2014-06-30,127.11,127.13,126.38,126.56,2732800
2014-07-01,126.72,127.64,126.66,127.24,2885300
2014-07-02,127.08,127.73,126.83,127.73,2599700
2014-07-03,127.91,129.39,127.81,129.3,2511400
2014-07-07,129.15,129.15,128.17,128.7,2875600
2014-07-08,128.24,129.09,128.17,128.22,3052400
2014-07-09,128.49,128.87,128.31,128.75,1923800
2014-07-10,128.0,128.72,127.61,128.45,2788600
2014-07-11,128.3,128.72,127.93,128.63,1819800
2014-07-14,129.0,129.28,128.68,128.98,1541600
2014-07-15,128.68,129.17,128.0,128.49,2931200
2014-07-16,128.66,128.75,127.88,128.11,2297600
2014-07-17,127.92,128.12,126.4,126.52,2834500
2014-07-18,126.91,128.45,126.88,128.28,3563500
2014-07-21,127.92,128.75,127.62,128.58,1787200
2014-07-22,129.0,129.0,128.23,128.42,1786200
2014-07-23,128.24,128.58,128.05,128.13,1527600
2014-07-24,128.39,128.68,128.06,128.35,2241300
2014-07-25,128.02,128.17,127.4,127.55,1807700
2014-07-28,127.55,128.45,126.63,128.37,1966900
2014-07-29,128.26,128.66,127.36,127.36,2346600
2014-07-30,127.51,128.42,126.83,127.74,2066400
2014-07-31,127.24,127.76,125.37,125.43,3630600
2014-08-01,125.0,126.95,122.72,125.83,3947900
2014-08-04,128.06,130.03,127.08,129.72,4876800
2014-08-05,129.7,129.75,127.36,127.99,3370600
2014-08-06,127.97,129.57,127.51,129.11,2719300
2014-08-07,129.69,129.88,128.52,128.95,3443100
2014-08-08,128.8,130.95,128.62,130.9,3761100
2014-08-11,131.41,132.8,130.94,131.95,2782400
2014-08-12,132.24,133.19,131.66,133.06,2742900
